,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
23154,2020-05-25T00:00:00.000,MD,47687,,,535.0,0.0,2333,2217.0,116.0,31.0,1.0,2020-05-26T14:23:02.020,,Agree
23155,2020-08-16T00:00:00.000,DE,16536,15532.0,1004.0,85.0,1.0,593,524.0,69.0,0.0,0.0,2020-08-17T14:26:31.025,Agree,Agree
23156,2020-07-07T00:00:00.000,AZ,105094,104572.0,522.0,3653.0,24.0,1927,1807.0,120.0,117.0,5.0,2020-07-08T14:12:08.319,Agree,Agree
23157,2020-03-07T00:00:00.000,MT,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23158,2020-12-25T00:00:00.000,ND,91355,88719.0,2636.0,133.0,1.0,1264,,,0.0,0.0,2020-12-26T14:34:18.488,Agree,Not agree
23159,2020-09-12T00:00:00.000,SC,134931,130839.0,4092.0,1143.0,152.0,3172,,,20.0,2.0,2021-03-24T13:33:43.058,Agree,Not agree
23160,2020-09-26T00:00:00.000,GU,2286,,,0.0,0.0,39,,,0.0,0.0,2020-09-27T13:39:49.124,Not agree,Not agree
23161,2021-02-07T00:00:00.000,NV,284042,,,651.0,0.0,4520,,,24.0,0.0,2021-02-08T14:53:12.094,,
23162,2020-12-11T00:00:00.000,LA,264191,,,2862.0,671.0,6767,6465.0,302.0,43.0,4.0,2020-12-12T14:59:37.544,Not agree,Agree
23163,2020-03-16T00:00:00.000,MS,12,,,2.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23164,2020-07-07T00:00:00.000,FSM,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2020-07-08T14:12:08.319,Agree,Agree
23165,2020-02-10T00:00:00.000,ID,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23166,2021-02-14T00:00:00.000,VT,13677,,,116.0,3.0,189,,,0.0,0.0,2021-02-15T14:46:24.739,Not agree,Not agree
23167,2020-10-30T00:00:00.000,SC,176858,167371.0,9487.0,875.0,136.0,3989,,,14.0,0.0,2021-03-24T13:33:43.058,Agree,Not agree
23168,2021-03-17T00:00:00.000,KY,418372,319559.0,98813.0,960.0,357.0,5056,4581.0,475.0,27.0,3.0,2021-03-18T14:01:55.607,Agree,Agree
23169,2020-11-25T00:00:00.000,NJ,345133,,,4730.0,688.0,16886,15057.0,1829.0,67.0,17.0,2021-02-19T13:38:31.100,Not agree,Agree
23170,2020-08-06T00:00:00.000,SC,99318,97785.0,1533.0,1546.0,91.0,2083,,,40.0,4.0,2021-03-24T13:33:43.058,Agree,Not agree
23171,2020-11-27T00:00:00.000,LA,230602,,,4964.0,405.0,6391,6136.0,255.0,41.0,2.0,2020-11-28T14:46:47.693,Not agree,Agree
23172,2020-03-26T00:00:00.000,ME,155,,,8.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23173,2020-06-22T00:00:00.000,WY,1230,974.0,256.0,33.0,6.0,20,20.0,0.0,0.0,0.0,2020-06-23T14:28:19.177,Agree,Agree
23174,2020-03-14T00:00:00.000,CT,7,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23175,2020-05-08T00:00:00.000,NV,5884,,,118.0,0.0,301,,,8.0,0.0,2020-05-09T21:26:08.000,,
23176,2020-09-09T00:00:00.000,DC,14387,,,25.0,0.0,615,,,4.0,0.0,2020-09-10T14:02:53.721,,
23177,2020-09-16T00:00:00.000,GU,2045,,,79.0,0.0,30,,,2.0,0.0,2020-09-17T13:45:45.666,Not agree,Not agree
23178,2020-10-09T00:00:00.000,MD,130795,,,636.0,0.0,3995,3850.0,145.0,5.0,0.0,2020-10-10T13:30:17.102,,Agree
23179,2020-10-20T00:00:00.000,WY,9526,8070.0,1456.0,215.0,69.0,61,61.0,0.0,4.0,0.0,2020-10-21T13:34:31.370,Agree,Agree
23180,2020-12-03T00:00:00.000,KY,190601,157319.0,33282.0,3836.0,777.0,2014,1922.0,92.0,34.0,21.0,2020-12-04T15:00:59.537,Agree,Agree
23181,2020-12-04T00:00:00.000,LA,247177,,,3099.0,649.0,6548,6274.0,274.0,24.0,2.0,2020-12-05T14:29:17.537,Not agree,Agree
23182,2020-04-17T00:00:00.000,MS,3793,,,0.0,,140,,,0.0,,2020-04-17T16:22:39.452,Agree,Agree
23183,2020-02-16T00:00:00.000,MI,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23184,2021-03-08T00:00:00.000,NC,874906,761821.0,113085.0,1228.0,221.0,11535,10199.0,1336.0,2.0,0.0,2021-03-09T14:47:41.991,Agree,Agree
23185,2020-12-06T00:00:00.000,SC,237483,219433.0,18050.0,2627.0,165.0,4694,,,34.0,10.0,2021-03-24T13:33:43.058,Agree,Not agree
23186,2021-01-08T00:00:00.000,RI,97614,,,1023.0,0.0,1916,,,6.0,0.0,2021-01-09T15:26:08.605,Not agree,
23187,2020-08-24T00:00:00.000,DE,16962,15960.0,1002.0,20.0,-10.0,604,532.0,72.0,0.0,0.0,2020-08-25T14:02:54.539,Agree,Agree
23188,2020-05-08T00:00:00.000,MN,10088,,,0.0,0.0,534,534.0,0.0,0.0,0.0,2020-05-09T21:26:08.000,,Agree
23189,2020-08-16T00:00:00.000,FSM,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2020-08-17T14:26:31.025,Agree,Agree
23190,2020-11-09T00:00:00.000,MN,184788,,,3926.0,167.0,2729,2645.0,84.0,19.0,0.0,2020-11-10T14:45:45.196,,Agree
23191,2020-12-18T00:00:00.000,AL,315683,257546.0,58137.0,5348.0,1166.0,4296,3772.0,524.0,42.0,15.0,2020-12-19T14:42:31.925,Agree,Agree
23192,2021-03-18T00:00:00.000,OR,160622,160622.0,0.0,336.0,0.0,2353,2353.0,0.0,4.0,0.0,2021-03-19T14:25:43.135,Agree,Agree
23193,2020-11-02T00:00:00.000,MO,197983,,,2484.0,281.0,3031,,,5.0,0.0,2020-11-03T09:57:00.000,Not agree,Not agree
23194,2020-10-24T00:00:00.000,NJ,236711,,,2188.0,279.0,16281,14492.0,1789.0,8.0,0.0,2021-02-19T13:38:31.100,Not agree,Agree
23195,2020-08-09T00:00:00.000,GU,418,,,7.0,0.0,5,,,0.0,0.0,2020-08-10T14:23:35.555,Not agree,Not agree
23196,2020-12-16T00:00:00.000,CA,1671081,,,53711.0,0.0,21481,,,293.0,0.0,2020-12-17T14:33:42.543,Not agree,Not agree
23197,2020-09-27T00:00:00.000,DE,20389,19334.0,1055.0,129.0,2.0,634,557.0,77.0,1.0,0.0,2020-09-28T13:50:59.474,Agree,Agree
23198,2020-06-12T00:00:00.000,NJ,166732,,,367.0,19.0,12489,12489.0,0.0,46.0,0.0,2021-02-19T13:38:31.100,Not agree,Agree
